Timestamp(ns);Rotation_X(rad);Rotation_Y(rad);Rotation_Z(rad);Position_X(m);Position_Y(m);Position_Z(m);
3996131112141; 0.31; 0.19; 0.01; 0.01; 0.03; 0.01;
3996147732878; 0.31; 0.19; 0.02; 0.01; 0.03; 0.01;
3996164577705; 0.31; 0.19; 0.02; 0.01; 0.03; 0.01;
3996181043631; 0.31; 0.19; 0.02; 0.01; 0.03; 0.01;
3996197758879; 0.31; 0.19; 0.02; 0.01; 0.03; 0.01;
3996231143189; 0.32; 0.19; 0.02; 0.01; 0.03; 0.01;
3996247748530; 0.33; 0.19; 0.02; 0.01; 0.03; 0.01;
3996264457791; 0.33; 0.20; 0.02; 0.01; 0.03; 0.01;
3996281130274; 0.33; 0.20; 0.02; 0.01; 0.03; 0.01;
3996297779236; 0.34; 0.19; 0.02; 0.01; 0.03; 0.01;
3996314380300; 0.34; 0.19; 0.02; 0.01; 0.03; 0.01;
3996331120780; 0.34; 0.19; 0.02; 0.01; 0.03; 0.01;
3996364388768; 0.35; 0.19; 0.01; 0.01; 0.03; 0.01;
3996380988977; 0.35; 0.20; 0.01; 0.01; 0.03; 0.01;
3996397960817; 0.36; 0.20; 0.01; 0.01; 0.03; 0.01;
3996414369010; 0.36; 0.21; 0.01; 0.01; 0.03; 0.01;
3996430969220; 0.36; 0.21; 0.01; 0.01; 0.03; 0.01;
3996447762728; 0.36; 0.22; 0.01; 0.01; 0.03; 0.01;
3996464350108; 0.36; 0.22; 0.01; 0.01; 0.03; 0.01;
3996497633064; 0.37; 0.22; 0.01; 0.01; 0.03; 0.01;
3996514377820; 0.37; 0.23; 0.01; 0.01; 0.03; 0.01;
3996531003689; 0.37; 0.23; 0.01; 0.01; 0.03; 0.01;
3996547677882; 0.36; 0.23; 0.01; 0.01; 0.03; 0.01;
3996564301185; 0.37; 0.23; 0.01; 0.01; 0.03; 0.01;
3996580980082; 0.38; 0.23; 0.01; 0.01; 0.03; 0.01;
3996597745366; 0.38; 0.24; 0.01; 0.01; 0.03; 0.01;
3996631021907; 0.39; 0.25; 0.00; 0.01; 0.04; 0.01;
3996647641360; 0.39; 0.26; 0.00; 0.01; 0.04; 0.01;
3996664224036; 0.40; 0.26; 0.00; 0.01; 0.04; 0.01;
3996680999583; 0.40; 0.26; 0.00; 0.01; 0.04; 0.01;
3996697631439; 0.41; 0.25; 0.00; 0.01; 0.04; 0.01;
3996714247044; 0.41; 0.25; 0.00; 0.01; 0.04; 0.01;
3996730857944; 0.41; 0.25; 0.01; 0.01; 0.04; 0.01;
3996764264920; 0.41; 0.25; 0.01; 0.01; 0.04; 0.01;
3996780881808; 0.42; 0.25; 0.01; 0.01; 0.04; 0.01;
3996797660348; 0.41; 0.25; 0.01; 0.01; 0.04; 0.01;
3996847599536; 0.40; 0.25; 0.01; 0.01; 0.04; 0.01;
3996864256196; 0.40; 0.25; 0.01; 0.01; 0.04; 0.01;
3996880888479; 0.40; 0.25; 0.01; 0.01; 0.04; 0.01;
3996897517341; 0.40; 0.25; 0.01; 0.01; 0.04; 0.01;
3996914268940; 0.40; 0.25; 0.01; 0.01; 0.04; 0.01;
3996930866583; 0.40; 0.25; 0.01; 0.01; 0.04; 0.01;
3996947476628; 0.39; 0.25; 0.01; 0.01; 0.04; 0.01;
3996980863504; 0.38; 0.25; 0.01; 0.01; 0.04; 0.01;
3996997486807; 0.38; 0.25; 0.01; 0.01; 0.04; 0.01;
3997014075042; 0.38; 0.25; 0.01; 0.01; 0.04; 0.01;
3997030886939; 0.38; 0.25; 0.01; 0.01; 0.04; 0.01;
3997047538895; 0.38; 0.25; 0.01; 0.01; 0.04; 0.01;
3997064136111; 0.38; 0.25; 0.01; 0.01; 0.04; 0.01;
3997080872314; 0.37; 0.25; 0.01; 0.01; 0.04; 0.01;
3997097779150; 0.37; 0.26; 0.01; 0.01; 0.04; 0.01;
3997130769591; 0.37; 0.26; 0.02; 0.01; 0.04; 0.01;
3997147476714; 0.36; 0.26; 0.02; 0.01; 0.04; 0.01;
3997164135084; 0.36; 0.26; 0.02; 0.01; 0.04; 0.01;
3997180778914; 0.36; 0.26; 0.02; 0.01; 0.04; 0.01;
3997197501432; 0.36; 0.26; 0.01; 0.01; 0.03; 0.01;
3997214104208; 0.35; 0.26; 0.01; 0.01; 0.03; 0.01;
3997247466707; 0.34; 0.26; 0.01; 0.01; 0.03; 0.01;
3997264087016; 0.34; 0.27; 0.01; 0.01; 0.03; 0.01;
3997280732557; 0.34; 0.27; 0.01; 0.01; 0.03; 0.01;
3997297376387; 0.33; 0.27; 0.01; 0.01; 0.03; 0.01;
3997314116439; 0.33; 0.27; 0.01; 0.01; 0.03; 0.01;
3997330726912; 0.33; 0.28; 0.01; 0.01; 0.03; 0.01;
3997347503742; 0.33; 0.28; 0.01; 0.01; 0.03; 0.01;
3997380731530; 0.32; 0.29; 0.01; 0.01; 0.03; 0.01;
3997397381347; 0.32; 0.29; 0.01; 0.01; 0.03; 0.01;
